motor_id,motor_sinifi,verim_sinifi,motor_T_nom,motor_T_max,motor_n_max,motor_P_nom,T_cont,T_peak,t_cycle,t_peak,n_nom_ihtiyac,n_max_ihtiyac,T_amb,SF,T_rms_guvenlikli,P_ihtiyac_kW,uygunluk_skoru,verim_kod,sinif_kod
motor_001,servo,IE4,8.0,24.0,6000,2.5,6.27,9.32,12.05,3.99,2186.0,4209.0,34.9,1.5,11.13,1.7,0.0,4,1
motor_002,asenkron,IE3,35.0,84.0,3000,5.5,6.27,9.32,12.05,3.99,2186.0,4209.0,34.9,1.5,11.13,1.7,0.0,3,0
motor_003,asenkron,IE3,49.0,118.0,3000,7.5,6.27,9.32,12.05,3.99,2186.0,4209.0,34.9,1.5,11.13,1.7,0.0,3,0
motor_004,asenkron,IE4,72.0,173.0,3000,11.0,6.27,9.32,12.05,3.99,2186.0,4209.0,34.9,1.5,11.13,1.7,0.0,4,0
motor_005,asenkron,IE3,19.5,46.8,3000,3.0,6.27,9.32,12.05,3.99,2186.0,4209.0,34.9,1.5,11.13,1.7,0.0,3,0
motor_006,asenkron,IE4,98.0,235.0,3000,15.0,6.27,9.32,12.05,3.99,2186.0,4209.0,34.9,1.5,11.13,1.7,0.0,4,0
motor_007,servo,IE4,12.0,36.0,8000,5.0,6.27,9.32,12.05,3.99,2186.0,4209.0,34.9,1.5,11.13,1.7,60.0,4,1
motor_001,servo,IE4,8.0,24.0,6000,2.5,20.93,48.12,4.23,2.49,755.0,1745.0,19.2,1.5,58.94,3.1,0.0,4,1
motor_002,asenkron,IE3,35.0,84.0,3000,5.5,20.93,48.12,4.23,2.49,755.0,1745.0,19.2,1.5,58.94,3.1,0.0,3,0
motor_003,asenkron,IE3,49.0,118.0,3000,7.5,20.93,48.12,4.23,2.49,755.0,1745.0,19.2,1.5,58.94,3.1,0.0,3,0
motor_004,asenkron,IE4,72.0,173.0,3000,11.0,20.93,48.12,4.23,2.49,755.0,1745.0,19.2,1.5,58.94,3.1,70.0,4,0
motor_005,asenkron,IE3,19.5,46.8,3000,3.0,20.93,48.12,4.23,2.49,755.0,1745.0,19.2,1.5,58.94,3.1,0.0,3,0
motor_006,asenkron,IE4,98.0,235.0,3000,15.0,20.93,48.12,4.23,2.49,755.0,1745.0,19.2,1.5,58.94,3.1,35.0,4,0
motor_007,servo,IE4,12.0,36.0,8000,5.0,20.93,48.12,4.23,2.49,755.0,1745.0,19.2,1.5,58.94,3.1,0.0,4,1
motor_001,servo,IE4,8.0,24.0,6000,2.5,26.32,53.54,8.75,2.24,696.0,1894.0,23.4,1.5,53.0,2.58,0.0,4,1
motor_002,asenkron,IE3,35.0,84.0,3000,5.5,26.32,53.54,8.75,2.24,696.0,1894.0,23.4,1.5,53.0,2.58,0.0,3,0
motor_003,asenkron,IE3,49.0,118.0,3000,7.5,26.32,53.54,8.75,2.24,696.0,1894.0,23.4,1.5,53.0,2.58,0.0,3,0
motor_004,asenkron,IE4,72.0,173.0,3000,11.0,26.32,53.54,8.75,2.24,696.0,1894.0,23.4,1.5,53.0,2.58,57.0,4,0
motor_005,asenkron,IE3,19.5,46.8,3000,3.0,26.32,53.54,8.75,2.24,696.0,1894.0,23.4,1.5,53.0,2.58,0.0,3,0
motor_006,asenkron,IE4,98.0,235.0,3000,15.0,26.32,53.54,8.75,2.24,696.0,1894.0,23.4,1.5,53.0,2.58,42.0,4,0
motor_007,servo,IE4,12.0,36.0,8000,5.0,26.32,53.54,8.75,2.24,696.0,1894.0,23.4,1.5,53.0,2.58,0.0,4,1
motor_001,servo,IE4,8.0,24.0,6000,2.5,37.78,75.97,6.2,2.4,621.0,2320.0,18.9,1.5,83.63,3.63,0.0,4,1
motor_002,asenkron,IE3,35.0,84.0,3000,5.5,37.78,75.97,6.2,2.4,621.0,2320.0,18.9,1.5,83.63,3.63,0.0,3,0
motor_003,asenkron,IE3,49.0,118.0,3000,7.5,37.78,75.97,6.2,2.4,621.0,2320.0,18.9,1.5,83.63,3.63,0.0,3,0
motor_004,asenkron,IE4,72.0,173.0,3000,11.0,37.78,75.97,6.2,2.4,621.0,2320.0,18.9,1.5,83.63,3.63,0.0,4,0
motor_005,asenkron,IE3,19.5,46.8,3000,3.0,37.78,75.97,6.2,2.4,621.0,2320.0,18.9,1.5,83.63,3.63,0.0,3,0
motor_006,asenkron,IE4,98.0,235.0,3000,15.0,37.78,75.97,6.2,2.4,621.0,2320.0,18.9,1.5,83.63,3.63,87.0,4,0
motor_007,servo,IE4,12.0,36.0,8000,5.0,37.78,75.97,6.2,2.4,621.0,2320.0,18.9,1.5,83.63,3.63,0.0,4,1
motor_001,servo,IE4,8.0,24.0,6000,2.5,5.84,9.73,14.62,5.04,2042.0,6463.0,25.1,1.5,11.12,1.59,0.0,4,1
motor_002,asenkron,IE3,35.0,84.0,3000,5.5,5.84,9.73,14.62,5.04,2042.0,6463.0,25.1,1.5,11.12,1.59,0.0,3,0
motor_003,asenkron,IE3,49.0,118.0,3000,7.5,5.84,9.73,14.62,5.04,2042.0,6463.0,25.1,1.5,11.12,1.59,0.0,3,0
motor_004,asenkron,IE4,72.0,173.0,3000,11.0,5.84,9.73,14.62,5.04,2042.0,6463.0,25.1,1.5,11.12,1.59,0.0,4,0
motor_005,asenkron,IE3,19.5,46.8,3000,3.0,5.84,9.73,14.62,5.04,2042.0,6463.0,25.1,1.5,11.12,1.59,0.0,3,0
motor_006,asenkron,IE4,98.0,235.0,3000,15.0,5.84,9.73,14.62,5.04,2042.0,6463.0,25.1,1.5,11.12,1.59,0.0,4,0
motor_007,servo,IE4,12.0,36.0,8000,5.0,5.84,9.73,14.62,5.04,2042.0,6463.0,25.1,1.5,11.12,1.59,77.0,4,1
motor_001,servo,IE4,8.0,24.0,6000,2.5,4.19,6.75,4.38,2.48,3440.0,5122.0,27.0,1.5,8.67,2.08,0.0,4,1
motor_002,asenkron,IE3,35.0,84.0,3000,5.5,4.19,6.75,4.38,2.48,3440.0,5122.0,27.0,1.5,8.67,2.08,0.0,3,0
motor_003,asenkron,IE3,49.0,118.0,3000,7.5,4.19,6.75,4.38,2.48,3440.0,5122.0,27.0,1.5,8.67,2.08,0.0,3,0
motor_004,asenkron,IE4,72.0,173.0,3000,11.0,4.19,6.75,4.38,2.48,3440.0,5122.0,27.0,1.5,8.67,2.08,0.0,4,0
motor_005,asenkron,IE3,19.5,46.8,3000,3.0,4.19,6.75,4.38,2.48,3440.0,5122.0,27.0,1.5,8.67,2.08,0.0,3,0
motor_006,asenkron,IE4,98.0,235.0,3000,15.0,4.19,6.75,4.38,2.48,3440.0,5122.0,27.0,1.5,8.67,2.08,0.0,4,0
motor_007,servo,IE4,12.0,36.0,8000,5.0,4.19,6.75,4.38,2.48,3440.0,5122.0,27.0,1.5,8.67,2.08,57.0,4,1
motor_001,servo,IE4,8.0,24.0,6000,2.5,8.4,20.38,14.67,4.88,1303.0,2307.0,36.2,1.5,20.41,1.86,0.0,4,1
motor_002,asenkron,IE3,35.0,84.0,3000,5.5,8.4,20.38,14.67,4.88,1303.0,2307.0,36.2,1.5,20.41,1.86,35.0,3,0
